MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
45,RM,51.0,6120,Sin_Acceso,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,Ex,Y,FuseA,0,854,0,0,1,0,2,TA,Typ,0,Sin_Chimenea,Detchd,Unf,2,TA,TA,Y,48,112,0,0,GdPrv,7,2007,WD,Normal,132000
20,RL,73.0,11241,Sin_Acceso,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,Ex,Y,SBrkr,0,1004,1,0,1,0,2,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,Sin_Cerca,3,2010,WD,Normal,149000
90,RL,72.0,10791,Sin_Acceso,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,None,0.0,TA,TA,Slab,Sin_Sotano,Sin_Sotano,Sin_Sotano,Sin_Sotano,0,Sin_Sotano,0,0,0,TA,Y,SBrkr,0,1296,0,0,2,0,2,TA,Typ,0,Sin_Chimenea,CarPort,Unf,2,TA,TA,Y,0,0,0,0,Sin_Cerca,10,2006,WD,Normal,90000
20,RL,66.0,13695,Sin_Acceso,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,Ex,Y,SBrkr,0,1114,1,0,1,1,3,Gd,Typ,0,Sin_Chimenea,Detchd,Unf,2,TA,TA,Y,0,102,0,0,Sin_Cerca,6,2008,WD,Normal,159000
20,RL,70.0,7560,Sin_Acceso,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,TA,Y,SBrkr,0,1339,0,0,1,0,3,TA,Min1,0,Sin_Chimenea,Attchd,Unf,1,TA,TA,Y,0,0,0,0,MnPrv,5,2009,COD,Abnorml,139000
60,RL,101.0,14215,Sin_Acceso,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Ex,Y,SBrkr,1218,2376,0,0,3,1,4,Gd,Typ,1,Gd,BuiltIn,RFn,3,TA,TA,Y,240,154,0,0,Sin_Cerca,11,2006,New,Partial,325300
45,RM,57.0,7449,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,Ex,Y,FuseF,0,1108,0,0,1,0,3,Gd,Typ,1,Gd,Attchd,Unf,1,TA,TA,N,0,0,205,0,GdPrv,6,2007,WD,Normal,139400
20,RL,75.0,9742,Sin_Acceso,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,Ex,Y,SBrkr,0,1795,0,0,2,0,3,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,171,159,0,0,Sin_Cerca,9,2008,WD,Normal,230000
120,RM,44.0,4224,Sin_Acceso,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,TA,Y,SBrkr,0,1060,1,0,1,0,3,TA,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,100,110,0,0,Sin_Cerca,6,2007,WD,Normal,129900
20,RL,71.0,8246,Sin_Acceso,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Ex,Y,SBrkr,0,1060,1,0,1,0,3,Gd,Typ,1,TA,Attchd,Unf,1,TA,TA,Y,406,90,0,0,MnPrv,5,2010,WD,Normal,154000
20,RL,110.0,14230,Sin_Acceso,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,Ex,Y,SBrkr,0,1600,0,0,2,0,3,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,0,56,0,0,Sin_Cerca,7,2009,WD,Normal,256300
20,RL,60.0,7200,Sin_Acceso,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,TA,Y,SBrkr,0,900,0,1,1,0,3,Gd,Typ,0,Sin_Chimenea,Detchd,Unf,2,TA,TA,Y,222,32,0,0,Sin_Cerca,5,2010,WD,Normal,134800
20,RL,98.0,11478,Sin_Acceso,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Ex,Y,SBrkr,0,1704,1,0,2,0,3,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,0,50,0,0,Sin_Cerca,5,2010,WD,Normal,306000
20,RL,47.0,16321,Sin_Acceso,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,TA,Y,SBrkr,0,1600,1,0,1,0,2,TA,Typ,2,Gd,Attchd,RFn,1,TA,TA,Y,288,258,0,0,Sin_Cerca,12,2006,WD,Normal,207500
30,RM,60.0,6324,Sin_Acceso,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,Fa,N,SBrkr,0,520,0,0,1,0,1,Fa,Typ,0,Sin_Chimenea,Detchd,Unf,1,Fa,TA,Y,49,0,87,0,Sin_Cerca,5,2008,WD,Normal,68500
70,C (all),50.0,8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,TA,N,SBrkr,668,1317,0,0,1,0,3,TA,Typ,0,Sin_Chimenea,Detchd,Unf,1,TA,Fa,N,0,54,172,0,MnPrv,7,2008,WD,Normal,40000
20,RL,71.0,8544,Sin_Acceso,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,Gd,Y,SBrkr,0,1228,0,0,1,1,3,Gd,Typ,0,Sin_Chimenea,Attchd,Unf,1,TA,TA,Y,0,65,0,0,MnPrv,6,2008,WD,Normal,149350
20,RL,85.0,11049,Sin_Acceso,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Ex,Y,SBrkr,0,1234,0,0,2,0,3,Gd,Typ,0,Sin_Chimenea,Attchd,RFn,2,TA,TA,Y,0,30,0,0,Sin_Cerca,1,2008,WD,Normal,179900
20,RL,70.0,10552,Sin_Acceso,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,Gd,Y,SBrkr,0,1700,0,1,1,1,4,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,0,38,0,0,Sin_Cerca,4,2010,WD,Normal,165500
120,RL,60.0,7313,Sin_Acceso,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Ex,Y,SBrkr,0,1561,1,0,2,0,2,Ex,Typ,1,Gd,Attchd,Fin,2,TA,TA,Y,203,47,0,0,Sin_Cerca,8,2007,WD,Normal,277500
60,RL,108.0,13418,Sin_Acceso,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Ex,Y,SBrkr,1320,2452,0,0,3,1,4,Gd,Typ,1,Gd,BuiltIn,Fin,3,TA,TA,Y,113,32,0,0,Sin_Cerca,9,2006,WD,Normal,309000
20,RL,112.0,10859,Sin_Acceso,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,Ex,Y,SBrkr,0,1097,0,0,1,1,3,TA,Typ,0,Sin_Chimenea,Attchd,Unf,2,TA,TA,Y,392,64,0,0,Sin_Cerca,6,2009,WD,Normal,145000
20,RL,74.0,8532,Sin_Acceso,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,Gd,Y,SBrkr,0,1297,0,1,1,0,3,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,Sin_Cerca,10,2009,WD,Normal,153000
20,RL,68.0,7922,Sin_Acceso,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,TA,Y,SBrkr,0,1057,1,0,1,0,3,Gd,Typ,0,Sin_Chimenea,Detchd,Unf,1,TA,TA,Y,0,52,0,0,Sin_Cerca,1,2010,WD,Abnorml,109000
90,RL,65.0,6040,Sin_Acceso,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,None,0.0,TA,TA,PConc,Sin_Sotano,Sin_Sotano,Sin_Sotano,Sin_Sotano,0,Sin_Sotano,0,0,0,TA,N,FuseP,0,1152,0,0,2,0,2,Fa,Typ,0,Sin_Chimenea,Sin_Garaje,Sin_Garaje,0,Sin_Garaje,Sin_Garaje,N,0,0,0,0,Sin_Cerca,6,2008,WD,AdjLand,82000
20,RL,84.0,8658,Sin_Acceso,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,Ex,Y,SBrkr,0,1324,0,0,2,0,3,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0,138,0,0,GdWo,12,2006,WD,Abnorml,160000
20,RL,115.0,16905,Sin_Acceso,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,Gd,Y,SBrkr,0,1328,0,1,1,1,2,TA,Typ,2,Gd,Attchd,RFn,1,TA,TA,P,0,104,0,0,Sin_Cerca,7,2007,WD,Normal,170000
85,RL,66.5,9180,Sin_Acceso,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,Gd,Y,SBrkr,0,884,1,0,1,0,2,Gd,Typ,0,Sin_Chimenea,Attchd,RFn,2,TA,Gd,Y,240,0,0,0,MnPrv,12,2007,WD,Normal,144000
20,RL,70.0,9200,Sin_Acceso,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,TA,Y,SBrkr,0,938,1,0,1,0,3,TA,Typ,0,Sin_Chimenea,Detchd,Unf,1,TA,TA,Y,145,0,0,0,MnPrv,7,2008,WD,Normal,130250
20,RL,70.0,7945,Sin_Acceso,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,Ex,Y,FuseA,0,1150,1,0,1,0,3,TA,Typ,0,Sin_Chimenea,Attchd,RFn,1,TA,TA,Y,0,0,0,0,Sin_Cerca,5,2006,WD,Normal,141000
120,RL,61.0,7658,Sin_Acceso,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Ex,Y,SBrkr,0,1752,1,0,2,0,2,Ex,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,196,82,0,0,Sin_Cerca,2,2010,WD,Normal,319900
50,RL,48.0,12822,Sin_Acceso,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Ex,Y,SBrkr,631,2149,1,0,1,1,1,Gd,Typ,1,Ex,Attchd,RFn,2,TA,TA,Y,168,43,0,198,Sin_Cerca,8,2009,WD,Abnorml,239686
20,FV,84.0,11096,Sin_Acceso,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Ex,Y,SBrkr,0,1656,0,0,2,0,3,Gd,Typ,0,Sin_Chimenea,Attchd,RFn,3,TA,TA,Y,0,146,0,0,Sin_Cerca,7,2007,WD,Normal,249700
190,RM,33.0,4456,Sin_Acceso,Reg,Lvl,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,Gd,Y,SBrkr,716,1452,0,0,2,0,2,TA,Typ,0,Sin_Chimenea,Sin_Garaje,Sin_Garaje,0,Sin_Garaje,Sin_Garaje,N,0,0,102,0,Sin_Cerca,6,2009,New,Partial,113000
20,RL,66.0,7742,Sin_Acceso,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,Ex,Y,SBrkr,0,955,1,0,1,0,3,TA,Typ,0,Sin_Chimenea,Attchd,Unf,1,TA,TA,Y,0,0,0,0,MnPrv,1,2007,WD,Normal,127000
60,RL,65.0,13869,Sin_Acceso,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,Gd,Y,SBrkr,676,1470,0,1,2,0,3,TA,Typ,0,Sin_Chimenea,Attchd,Fin,2,TA,TA,Y,0,75,0,0,Sin_Cerca,7,2007,WD,Normal,177000
50,RM,52.0,6240,Sin_Acceso,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,TA,Y,SBrkr,0,1176,0,0,1,0,3,TA,Typ,1,Gd,Detchd,Unf,2,TA,TA,Y,112,0,0,0,MnPrv,9,2006,WD,Normal,114500
90,RM,110.0,8472,Sin_Acceso,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,TA,N,SBrkr,0,816,1,0,1,0,2,TA,Typ,0,Sin_Chimenea,CarPort,Unf,2,TA,TA,Y,106,0,0,0,Sin_Cerca,5,2010,WD,Normal,110000
20,RL,68.0,50271,Sin_Acceso,IR1,Low,Inside,Gtl,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,Gd,Y,SBrkr,0,1842,2,0,0,1,0,Gd,Typ,1,Gd,Attchd,Fin,3,TA,TA,Y,857,72,0,0,Sin_Cerca,11,2006,WD,Normal,385000
80,RL,60.0,7134,Sin_Acceso,Reg,Bnk,Inside,Mod,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,TA,Y,SBrkr,0,1360,0,0,1,0,3,TA,Min1,1,TA,Detchd,Unf,2,TA,TA,Y,0,50,0,0,MnPrv,2,2007,WD,Normal,130000
20,RL,100.0,10175,Sin_Acceso,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,Gd,Y,SBrkr,0,1425,0,0,2,0,3,TA,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,0,0,0,0,Sin_Cerca,7,2008,WD,Normal,180500
160,FV,24.0,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,Ex,Y,SBrkr,756,1739,1,0,2,1,3,Gd,Typ,0,Sin_Chimenea,Attchd,Fin,2,TA,TA,Y,115,0,0,0,Sin_Cerca,8,2009,WD,Abnorml,172500
